DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR10,2010,617.7,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR21,2010,54.2,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR22,2010,36.6,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR31,2010,215.0,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR32,2010,116.0,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR33,2010,69.9,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR41,2010,115.4,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR42,2010,131.0,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR51,2010,172.4,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR52,2010,57.1,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR61,2010,106.3,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR62,2010,205.3,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR63,2010,111.7,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR71,2010,44.9,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR72,2010,88.5,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR81,2010,43.2,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR82,2010,23.3,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR83,2010,59.7,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TR90,2010,52.1,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRA1,2010,20.5,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRA2,2010,28.9,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRB1,2010,57.3,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRB2,2010,76.2,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRC1,2010,78.8,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRC2,2010,70.9,
ESTAT:LFST_R_LFU3PERS(1.0),27/04/23 11:00:00,A,TOTAL,T,Y15-74,THS_PER,TRC3,2010,42.8,
