DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2000,12900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2001,15000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2002,18100,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2003,18800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2004,20500,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2005,23800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2006,26700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2007,30200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2008,34900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2009,31700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2010,34100,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2011,34800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2012,34100,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2013,33700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2014,33100,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2015,35700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2016,37300,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ010,2017,40300,
